2025-10-09 11:20:50 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:20:50 | WARNING | aiogram.dispatcher | Sleep for 5.130435 seconds and try again... (tryings = 31, bot id = 8358955738)
2025-10-09 11:20:55 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:20:55 | WARNING | aiogram.dispatcher | Sleep for 4.976924 seconds and try again... (tryings = 32, bot id = 8358955738)
2025-10-09 11:21:00 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:21:00 | WARNING | aiogram.dispatcher | Sleep for 5.069010 seconds and try again... (tryings = 33, bot id = 8358955738)
2025-10-09 11:21:05 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:21:05 | WARNING | aiogram.dispatcher | Sleep for 5.033860 seconds and try again... (tryings = 34, bot id = 8358955738)
2025-10-09 11:21:11 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:21:11 | WARNING | aiogram.dispatcher | Sleep for 4.959872 seconds and try again... (tryings = 35, bot id = 8358955738)
2025-10-09 11:21:52 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:21:52 | WARNING | aiogram.dispatcher | Sleep for 4.853107 seconds and try again... (tryings = 36, bot id = 8358955738)
2025-10-09 11:21:57 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:21:57 | WARNING | aiogram.dispatcher | Sleep for 5.083166 seconds and try again... (tryings = 37, bot id = 8358955738)
2025-10-09 11:22:03 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:22:03 | WARNING | aiogram.dispatcher | Sleep for 5.132172 seconds and try again... (tryings = 38, bot id = 8358955738)
2025-10-09 11:22:08 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:22:08 | WARNING | aiogram.dispatcher | Sleep for 5.125999 seconds and try again... (tryings = 39, bot id = 8358955738)
2025-10-09 11:22:13 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:22:13 | WARNING | aiogram.dispatcher | Sleep for 5.151660 seconds and try again... (tryings = 40, bot id = 8358955738)
2025-10-09 11:22:18 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:22:18 | WARNING | aiogram.dispatcher | Sleep for 5.052890 seconds and try again... (tryings = 41, bot id = 8358955738)
2025-10-09 11:22:24 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:22:24 | WARNING | aiogram.dispatcher | Sleep for 4.910866 seconds and try again... (tryings = 42, bot id = 8358955738)
2025-10-09 11:22:29 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:22:29 | WARNING | aiogram.dispatcher | Sleep for 5.056869 seconds and try again... (tryings = 43, bot id = 8358955738)
2025-10-09 11:24:07 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:24:07 | WARNING | aiogram.dispatcher | Sleep for 5.060005 seconds and try again... (tryings = 44, bot id = 8358955738)
